G06145,메추리알,1250
G06146,명이나물,2200
G06147,명이나물장아찌,7600
G06148,명자나무,12000
G06149,모닝빵,3600
G06150,모찌식빵,3000
G06151,모카번,1000
G06152,모카빵,2000
G06153,목이버섯,3000
G06154,무,1000
G06155,무,3000
G06156,무,3200
G06157,무(솎음),1500
G06158,무(초록),2000
G06159,무말랭이,2000
G06160,무말랭이무침,6500
G06161,무시래기,2500
G06162,다발무,5000
G06163,다육,1000
G06164,다육(염좌),2000
G06165,다진마늘,3500
G06166,다진생강,7000
G06167,단무지,3000
G06168,단팥빵,750
G06169,단호박,3500
G06170,단호박가래떡,190000
G06171,단호박거피팥떡,1000
G06172,단호박미숫가루,8500
G06173,단호박분말,13000
G06174,단호박샤브레,1800
G06175,단호박설기,5000
G06176,단호박설기(하트),800
G06177,단호박식혜,5000
G06178,단호박영양찰떡,1100
G06179,단호박영양찰밥,900
G06180,단호박찹쌀도넛,4200
G06181,단호박콩깨시루떡,1000
G06182,단호박호두설기떡,1800
G06183,달래,2000
G06184,달래(노지),1000
G06185,닭가슴살,6000
G06186,당귀잎,1500
G06187,당근,1600
G06188,당근차,9000
G06189,당조고추,1800
G06190,대추,3500
G06191,대추도라지즙,6500
G06192,대추인삼즙,6500
G06193,대추토마토,6000
G06194,무시래기우엉모둠,10000
G06195,무우비트차,6500
G06196,무우장아찌,3500
G06197,무우차,8000
G06198,무지개떡,500
G06199,무청,1800
G06200,무화과잼,7800
G06201,무화과통밀빵,3000
G06202,문그로우,30000
G06203,미나리,1400
G06204,미나리즙,4000
G06205,미숫가루,11000
G06206,민들레,2000
G06207,민들레(흰),1500
G06208,바게트,2150
G06209,바람떡,1500
G06210,바지락된장찌개,5000
G06211,발아현미,4200
G06212,발효콩,10000
G06213,방울증편,1800
G06214,방울증편(흑미),3800
G06215,방풍나물,700
G06216,방풍나물장아찌,6600
G06217,배,5000
G06218,배추,2500
G06219,배추(경종),1500
G06220,배추(봄동),2500
G06221,배추(뿌리),2500
G06222,배추(솎음),1000
G06223,배추(얼갈이),1500
G06224,배추(토종),1500
G06225,배추김치,4000
G06226,배피떡,3200
G06227,백미,31000
G06228,백밀국수,2700
G06229,백연근차,15000
G06230,백태,6500
G06231,백태볶음가루,3600
G06232,백합,4000
G06233,벌화분,40000
G06234,보리싹(순),3000
G06235,보리차,7000
G06236,복숭아잼,5900
G06237,복숭아즙,1900
G06238,볶은개척1호콩,15000
G06239,볶은깨(참깨),8000
G06240,볶은땅콩,7500
G06241,볶은진양.개척콩,19000
G06242,볶은흑임자,8000
G06243,볶음귀리,10000
G06244,봉함기테이프,300
G06245,부지갱이,2000
G06246,부추,800
G06247,불미나리,1500
G06248,브로콜리,1500
G06249,브로콜리분말,12000
G06250,블랙베리진액,10000
G06251,블랙보리차,6500
G06252,블랙푸드선식,21000
G06253,블랙푸드현미미숫가루,14000
G06254,블루베리,14000
G06255,블루베리드레싱,5400
G06256,블루베리빵,1750
G06257,블루베리삼곡팝,3000
G06258,블루베리잎차,1800
G06259,블루베리잼,9800
G06260,블루베리즙,11200
G06261,블루애로우,30000
G06262,비수리(야관문),4000
G06263,비트,1000
G06264,비트(잎),1000
G06265,비트가루,8000
G06266,비트차,9800
G06267,빵끈,1500
G06268,사과,4500
G06269,사과(부사),4500
G06270,사철나무,5000
G06271,산국꽃차,5500
G06272,산청목,10000
G06273,삼잎국화나물,2500
G06274,삼채,3500
G06275,삼채(뿌리),3500
G06276,상지수,1500
G06277,상추,500
G06278,상추(꽃),700
G06279,상추(로메인),1000
G06280,상추(버터헤드),1500
G06281,상추(샐러드),800
G06282,상추(솎음),800
G06283,상추(아삭이),1800
